code,values,cap_profile,mandatory,value_it,description_it,label_it,value_en,description_en,label_en,value_de,description_de,label_de,value_es,description_es,label_es,value_fr,description_fr,label_fr
originMessageFile,,CAP-IT:1.0,If message from another cap,File,File CAP di origine,File,,,,,,,,,,,,
originMessageCapProfile,,CAP-IT:1.0,If message from another cap,Profilo,Profilo CAP di origine,Profilo,,,,,,,,,,,,
originMessageIdentifier,,CAP-IT:1.0,If message from another cap,Identificatore,Identificatore del CAP di origine,Identificatore,,,,,,,,,,,,
originMessageSender,,CAP-IT:1.0,If message from another cap,Mittente,Mittente del CAP di origine,Mittente,,,,,,,,,,,,
originMessageDateTime,,CAP-IT:1.0,If message from another cap,Data/Ora ,Data/Ora del file CAP di Origine,Data/Ora ,,,,,,,,,,,,
originMessageHash,,CAP-IT:1.0,If message from another cap,Hash,Hash sha-256 del file CAP di origine,Hash,,,,,,,,,,,,
eventCode,,CAP-IT:1.0,None,Codice evento,Valore code del vocabolario controllato cap-it-event e riferito al valore label riportato nel nodo event,Codice evento,,,,,,,,,,,,
repetition_seconds,,CAP-IT:1.0,If CellBroadcast message,Ripetizione,Ripetizione dei messaggi,Ripetizione,,,,,,,,,,,,
message_identifier,,CAP-IT:1.0,If CellBroadcast message,Identificatore,Identificatore messaggi,Identificatore,,,,,,,,,,,,
data_coding_scheme,,CAP-IT:1.0,If CellBroadcast message,Codifica,Schema codifica dei dati,Codifica,,,,,,,,,,,,
CODECALL,,CAP-IT-VF:0.1,,,,,,,,,,,,,,,,
CODEINT,,CAP-IT-VF:0.1,,,,,,,,,,,,,,,,
TIMECALL,,CAP-IT-VF:0.1,,,,,,,,,,,,,,,,
TIMEINT,,CAP-IT-VF:0.1,,,,,,,,,,,,,,,,
TIMEARR,,CAP-IT-VF:0.1,,,,,,,,,,,,,,,,
TIMECANC,,CAP-IT-VF:0.1,,,,,,,,,,,,,,,,
INCIDENTPROGRESS,,CAP-IT-VF:0.1,,,,,,,,,,,,,,,,
MAJOREVENT,,CAP-IT-VF:0.1,,,,,,,,,,,,,,,,
REFNUM,,CAP-IT-VF:0.1,,,,,,,,,,,,,,,,
